year,region_name,state_name,municipio_cod,latitude,longitude,yield_kg_ha,production_1000t,area_planted_1000ha
2020,Caetité - BA,BA,2905206,-14.0684,-42.4861,600.0,0.003,0.005
2020,Cafarnaum - BA,BA,2905305,-11.6914,-41.4688,0.0,0.0,0.0
2020,Cairu - BA,BA,2905404,-13.4904,-39.0465,0.0,0.0,0.0
2020,Caldeirão Grande - BA,BA,2905503,-11.0208,-40.2956,0.0,0.0,0.0
2020,Camacan - BA,BA,2905602,-15.4142,-39.4919,2000.0,1.8,0.9
2020,Camamu - BA,BA,2905800,-13.9398,-39.1071,2114.0,0.186,0.088
2020,Camaçari - BA,BA,2905701,-12.6996,-38.3263,0.0,0.0,0.0
2020,Campo Alegre de Lourdes - BA,BA,2905909,-9.52221,-43.0126,0.0,0.0,0.0
2020,Campo Formoso - BA,BA,2906006,-10.5105,-40.32,0.0,0.0,0.0
2020,Canarana - BA,BA,2906204,-11.6858,-41.7677,0.0,0.0,0.0
2020,Canavieiras - BA,BA,2906303,-15.6722,-38.9536,2500.0,0.75,0.3
2020,Candeal - BA,BA,2906402,-11.8049,-39.1203,0.0,0.0,0.0
2020,Candeias - BA,BA,2906501,-12.6716,-38.5472,0.0,0.0,0.0
2020,Candiba - BA,BA,2906600,-14.4097,-42.8667,0.0,0.0,0.0
2020,Cansanção - BA,BA,2906808,-10.6647,-39.4944,0.0,0.0,0.0
2020,Canudos - BA,BA,2906824,-9.90014,-39.1471,0.0,0.0,0.0
2020,Canápolis - BA,BA,2906105,-13.0725,-44.201,0.0,0.0,0.0
2020,Capela do Alto Alegre - BA,BA,2906857,-11.6658,-39.8349,0.0,0.0,0.0
2020,Capim Grosso - BA,BA,2906873,-11.3797,-40.0089,0.0,0.0,0.0
2020,Caravelas - BA,BA,2906907,-17.7268,-39.2597,3000.0,3.0,1.0
2020,Caraíbas - BA,BA,2906899,-14.7177,-41.2603,0.0,0.0,0.0
2020,Cardeal da Silva - BA,BA,2907004,-11.9472,-37.9469,0.0,0.0,0.0
2020,Carinhanha - BA,BA,2907103,-14.2985,-43.7724,0.0,0.0,0.0
2020,Casa Nova - BA,BA,2907202,-9.16408,-40.974,0.0,0.0,0.0
2020,Castro Alves - BA,BA,2907301,-12.7579,-39.4248,0.0,0.0,0.0
2020,Catolândia - BA,BA,2907400,-12.31,-44.8648,0.0,0.0,0.0
2020,Catu - BA,BA,2907509,-12.3513,-38.3791,0.0,0.0,0.0
2020,Caturama - BA,BA,2907558,-13.3239,-42.2904,0.0,0.0,0.0
2020,Caém - BA,BA,2905107,-11.0677,-40.432,0.0,0.0,0.0
2020,Central - BA,BA,2907608,-11.1376,-42.1116,0.0,0.0,0.0
2020,Chorrochó - BA,BA,2907707,-8.9695,-39.0979,0.0,0.0,0.0
2020,Cipó - BA,BA,2907905,-11.1032,-38.5179,0.0,0.0,0.0
2020,Coaraci - BA,BA,2908002,-14.637,-39.5556,1833.0,0.088,0.048
2020,Cocos - BA,BA,2908101,-14.1814,-44.5352,3180.0,3.18,1.0
2020,Conceição da Feira - BA,BA,2908200,-12.5078,-38.9978,0.0,0.0,0.0
2020,Conceição do Almeida - BA,BA,2908309,-12.7836,-39.1715,0.0,0.0,0.0
2020,Conceição do Coité - BA,BA,2908408,-11.56,-39.2808,0.0,0.0,0.0
2020,Conceição do Jacuípe - BA,BA,2908507,-12.3268,-38.7684,0.0,0.0,0.0
2020,Conde - BA,BA,2908606,-11.8179,-37.6131,0.0,0.0,0.0
2020,Condeúba - BA,BA,2908705,-14.9022,-41.9718,0.0,0.0,0.0
2020,Contendas do Sincorá - BA,BA,2908804,-13.7537,-41.048,536.0,0.15,0.28
2020,Coração de Maria - BA,BA,2908903,-12.2333,-38.7487,0.0,0.0,0.0
2020,Cordeiros - BA,BA,2909000,-15.0356,-41.9308,0.0,0.0,0.0
2020,Coribe - BA,BA,2909109,-13.8232,-44.4586,2667.0,0.048,0.018
2020,Coronel João Sá - BA,BA,2909208,-10.2847,-37.9198,0.0,0.0,0.0
2020,Correntina - BA,BA,2909307,-13.3477,-44.6333,0.0,0.0,0.0
2020,Cotegipe - BA,BA,2909406,-12.0228,-44.2566,0.0,0.0,0.0
2020,Cravolândia - BA,BA,2909505,-13.3531,-39.8031,1000.0,0.005,0.005
2020,Cristópolis - BA,BA,2909703,-12.2249,-44.4214,0.0,0.0,0.0
2020,Crisópolis - BA,BA,2909604,-11.5059,-38.1515,0.0,0.0,0.0
2020,Cruz das Almas - BA,BA,2909802,-12.6675,-39.1008,0.0,0.0,0.0
2020,Curaçá - BA,BA,2909901,-8.98458,-39.8997,0.0,0.0,0.0
2020,Cândido Sales - BA,BA,2906709,-15.4993,-41.2414,0.0,0.0,0.0
2020,Cícero Dantas - BA,BA,2907806,-10.5897,-38.3794,0.0,0.0,0.0
2020,Dias d'Ávila - BA,BA,2910057,-12.6187,-38.2926,0.0,0.0,0.0
